id,name,display_order,default_distance,last_modified_user_id,last_modified_date,created_user_id,created_date
1,"Phakic",1,4.0,1,"1901-01-01 00:00:00",1,"1901-01-01 00:00:00"
2,"Aphakic",2,3.5,1,"1901-01-01 00:00:00",1,"1901-01-01 00:00:00"
3,"Pseudophakic",3,3.5,1,"1901-01-01 00:00:00",1,"1901-01-01 00:00:00"
